"Latest: Time (min)","Latest: Temperature (°C)"
0,74.9910740722
0.2,74.9121972605
0.4,74.8498719329
0.6,74.7386031179
0.8,74.686356538
1,74.5853374985
1.2,74.5170609665
1.4,74.4165004135
1.6,74.358234923
1.8,74.2645541655
2,74.2097472232
2.2,74.0971625804
2.4,74.0297746072
2.6,73.9433113823
2.8,73.8857802874
3,73.7869061918
3.2,73.7264349751
3.4,73.624809209
3.6,73.5740996386
3.8,73.504485932
4,73.4192273568
4.2,73.3341622642
4.4,73.2555699319
4.6,73.1896793207
4.8,73.0988771658
5,73.03638259
5.2,72.9459495579
5.4,72.899259013
5.6,72.8215699065
5.8,72.737845277
6,72.6419458024
6.2,72.5925445489
6.4,72.5062476667
6.6,72.4324355681
6.8,72.3587673883
7,72.2730022124
7.2,72.2057514274
7.4,72.1355713008
7.6,72.0837824866
7.8,71.9773807789
8,71.9227759312
8.2,71.8410157039
8.4,71.7835860865
8.6,71.6870583074
8.8,71.6328689446
9,71.5367224726
9.2,71.4737580645
9.4,71.4288471261
9.6,71.3332136346
9.8,71.285486676
10,71.1812915865
10.2,71.1337540773
10.4,71.044780333
10.6,70.9914953025
10.8,70.908754704
11,70.8438694559
11.2,70.7849780882
11.4,70.6997460014
11.6,70.6381442367
11.8,70.553237346
12,70.4977102993
12.2,70.4160269186
12.4,70.3490594059
12.6,70.258982827
12.8,70.2038785596
13,70.1228156157
13.2,70.0707935664
13.4,70.0073061642
13.6,69.9295322208
13.8,69.8806436473
14,69.7887854788
14.2,69.7400744043
14.4,69.6399794782
14.6,69.5914551047
14.8,69.5031255399
15,69.4547720024
15.2,69.3667526582
15.4,69.3157360299
15.6,69.2506454062
15.8,69.1687295724
16,69.1264268687
16.2,69.0335223339
16.4,68.9829403243
16.6,68.8987824774
16.8,68.8483747403
17,68.7645061501
17.2,68.708693579
17.4,68.6529605468
17.6,68.5667309
17.8,68.5250749459
18,68.4418956402
18.2,68.3837749308
18.4,68.320217532
18.6,68.2512498831
18.8,68.1796517018
19,68.1136765769
19.2,68.0642677225
19.4,67.9793197484
19.6,67.9328130088
19.8,67.8617909789
20,67.7908965501
20.2,67.7010980456
20.4,67.6576327119
20.6,67.6006568588
20.8,67.5221105283
21,67.4761384542
21.2,67.4005358029
21.4,67.3493159672
21.6,67.2685768922
21.8,67.2148418889
22,67.1665424289
22.2,67.0808212936
22.4,67.0273391946
22.6,66.9445836004
22.8,66.9046021724
23,66.8513558707
23.2,66.7742746979
23.4,66.7291582541
23.6,66.6443710917
23.8,66.5967571816
24,66.5096118337
24.2,66.46742769
24.4,66.4173916094
24.6,66.3358875477
24.8,66.2938855967
25,66.2126315721
25.2,66.1629117734
25.4,66.102806746
25.6,66.0323629783
25.8,65.9802617036
26,65.8996375379
26.2,65.8554925841
26.4,65.7751169823
26.6,65.7311078151
26.8,65.6742257741
27,65.5993668469
27.2,65.5555482717
27.4,65.475765558
27.6,65.4320802823
27.8,65.355103115
28,65.3013057543
28.2,65.2424663992
28.4,65.1735025124
28.6,65.1377893951
28.8,65.0511876285
29,65.0003311954
29.2,64.9267017456
29.4,64.883601285
29.6,64.8127112107
29.8,64.7545718419
30,64.7166993004
30.2,64.6284659527
30.4,64.5907097143
30.6,64.54042205
30.8,64.4676141674
31,64.4149716386
31.2,64.349888402
31.4,64.2973962081
31.6,64.2349926048
31.8,64.1776646131
32,64.1204161823
32.2,64.0483463431
32.4,64.0086374212
32.6,63.9491454495
32.8,63.8897388914
33,63.8427690683
33.2,63.7662481929
33.4,63.7268087184
33.6,63.6529605522
33.8,63.6038012757
34,63.5497931249
34.2,63.481156715
34.4,63.4370929773
34.6,63.3686418565
34.8,63.3198168923
35,63.2759232062
35.2,63.1955710485
35.4,63.1348008512
35.6,63.0789701077
35.8,63.0377516935
36,62.95785501
36.2,62.9191719384
36.4,62.8515622127
36.6,62.7985165069
36.8,62.7575724309
37,62.6902218567
37.2,62.6397795214
37.4,62.5798077295
37.6,62.5151338168
37.8,62.4768552353
38,62.412338663
38.2,62.357457638
38.4,62.3026476902
38.6,62.243151995
38.8,62.2003667425
39,62.1338975521
39.2,62.0864831885
39.4,62.0485897556
39.6,61.9752671821
39.8,61.9256687276
40,61.876127959
40.2,61.8031014032
40.4,61.7748665822
40.6,61.6973169445
40.8,61.6527309047
41,61.5988204353
41.2,61.5402989976
41.4,61.4935393313
41.6,61.4211624577
41.8,61.3861851588
42,61.3395930222
42.2,61.2697993668
42.4,61.2279774557
42.6,61.1583644014
42.8,61.1166504758
43,61.0749768523
43.2,61.0032997821
43.4,60.9594273777
43.6,60.8948543241
43.8,60.848789625
44,60.8027738586
44.2,60.7315457967
44.4,60.6971225348
44.6,60.62835775
44.8,60.5825749205
45,60.5459833154
45.2,60.4774568322
45.4,60.4318323052
45.6,60.3771457952
45.8,60.3225277073
46,60.2816089032
46.2,60.2225714816
46.4,60.1636135902
46.6,60.1228430236
46.8,60.0594974022
47,60.0188234529
47.2,59.9691619496
47.4,59.9105433291
47.6,59.8700069143
47.8,59.8182646352
48,59.7576011176
48.2,59.7172050761
48.4,59.654440167
48.6,59.6051873499
48.8,59.5515194838
49,59.4979166015
49.2,59.4622173414
49.4,59.4042672716
49.6,59.3463927686
49.8,59.3108151312
50,59.2575019995
50.2,59.2042526675
50.4,59.1621420531
50.6,59.100156724
50.8,59.0581442422
51,59.0073398529
51.2,58.9477735075
51.4,58.9037013641
51.6,58.8530719642
51.8,58.7981047979
52,58.7607655599
52.2,58.6927561937
52.4,58.6576948124
52.6,58.616094888
52.8,58.5483037426
53,58.5111712082
53.2,58.4588007959
53.4,58.4064910686
53.6,58.3672984781
53.8,58.3150944717
54,58.2564368409
54.2,58.2195431821
54.4,58.1740100651
54.6,58.1155345288
54.8,58.0809178465
55,58.0204019953
55.2,57.9750678573
55.4,57.9384018107
55.6,57.8651580558
55.8,57.8307310392
56,57.7855849181
56.2,57.7340438797
56.4,57.6889930419
56.6,57.6482709081
56.8,57.5819070858
57,57.5476923051
57.2,57.5028240492
57.4,57.4366698851
57.6,57.4046939155
57.8,57.366352032
58,57.3003934501
58.2,57.2642626048
58.4,57.2260371993
58.6,57.1539197797
58.8,57.1200210227
59,57.0755665201
59.2,57.0184732942
59.4,56.9846733897
59.6,56.9319102301
59.8,56.8792068844
60,56.8434026736
60.2,56.8013152803
60.4,56.7424566908
60.6,56.7046581927
60.8,56.6543077291
61,56.6082007249
61.2,56.5663246512
61.4,56.5182134041
61.6,56.4534458182
61.8,56.4283984702
62,56.3887674622
62.2,56.3304246936
62.4,56.2929567869
62.6,56.2555186599
62.8,56.1931877669
63,56.1516795249
63.2,56.1184991708
63.4,56.0604895174
63.6,56.0149603296
63.8,55.9818756535
64,55.9302270145
64.2,55.8786345149
64.4,55.8394616483
64.6,55.7941438645
64.8,55.7447554338
65,55.6995276281
65.2,55.6625549315
65.4,55.6050986943
65.6,55.5722975465
65.8,55.537470955
66,55.4760739945
66.2,55.4351863407
66.4,55.3984172232
66.6,55.3494354885
66.8,55.3086554729
67,55.2679099949
67.2,55.2251643161
67.4,55.1722935598
67.6,55.1357246368
67.8,55.0951249485
68,55.0423962767
68.2,54.9917497514
68.4,54.9654344697
68.6,54.9189116215
68.8,54.8603158679
69,54.8320535362
69.2,54.7977570586
69.4,54.7453503235
69.6,54.6950123365
69.8,54.664834464
70,54.6125703006
70.2,54.564376018
70.4,54.5322728539
70.6,54.4861613982
70.8,54.4420953448
71,54.4000691821
71.2,54.3660743249
71.4,54.3141276205
71.6,54.2722106645
71.8,54.2343165115
72,54.1964514618
72.2,54.1486634147
72.4,54.1048982778
72.6,54.0691192262
72.8,54.0373373237
73,53.9797845401
73.2,53.9440956878
73.4,53.9044714748
73.6,53.8727948402
73.8,53.8213632992
74,53.7759104129
74.2,53.7423414236
74.4,53.693016258
74.6,53.6496503736
74.8,53.6122282667
75,53.5787690341
75.2,53.5413998538
75.4,53.4844163292
75.6,53.445155006
75.8,53.4118069853
76,53.3608468595
76.2,53.3236393601
76.4,53.2864593093
76.6,53.2414885099
76.8,53.2024159932
77,53.1594710763
77.2,53.1243614147
77.4,53.0873275999
77.6,53.0405866764
77.8,53.0016687618
78,52.9627806354
78.2,52.9316915315
78.4,52.8831527861
78.6,52.8365990466
78.8,52.8017115999
79,52.7629757029
79.2,52.7262037704
79.4,52.6797927534
79.6,52.6430804985
79.8,52.6102549585
80,52.5755213745
80.2,52.5196110593
80.4,52.4830130915
80.6,52.4502895783
80.8,52.4079723227
81,52.3560849024
81.2,52.3157640241
81.4,52.2927376314
81.6,52.2447988578
81.8,52.2141413079
82,52.1643614098
82.2,52.1356639369
82.4,52.1012478764
82.6,52.0553951903
82.8,52.0057669661
83,51.9752499861
83.2,51.940939701
83.4,51.9009394977
83.6,51.8590673164
83.8,51.819129636
84,51.786821412
84.2,51.7469387073
84.4,51.7165722063
84.6,51.6805347611
84.8,51.6312603315
85,51.5933882685
85.2,51.5517603915
85.4,51.5063855678
85.6,51.4723799973
85.8,51.4421711628
86,51.3950043298
86.2,51.3478794201
86.4,51.3177414196
86.6,51.2857385134
86.8,51.2462320801
87,51.2048758062
87.2,51.1673070192
87.4,51.1297646652
87.6,51.0959990931
87.8,51.0603807744
88,51.0116782938
88.2,50.9761159903
88.4,50.9499272653
88.6,50.9087993433
88.8,50.8789078826
89,50.8341018049
89.2,50.7949270376
89.4,50.7632349621
89.6,50.7278364124
89.8,50.6812946736
90,50.644090089
90.2,50.606911042
90.4,50.5790434782
90.6,50.5437650938
90.8,50.4973810408
91,50.4677159932
91.2,50.4158410131
91.4,50.3917729708
91.6,50.3584655032
91.8,50.3251783341
92,50.2808269398
92.2,50.2383572097
92.4,50.2069876767
92.6,50.1719488205
92.8,50.1369323027
93,50.0964147003
93.2,50.0632861033
93.4,50.0228226224
93.6,49.9897381984
93.8,49.9456564373
94,49.9181231726
94.2,49.87593208
94.4,49.8411027811
94.6,49.8099582486
94.8,49.7696794686
95,49.7330877008
95.2,49.7056596537
95.4,49.6691099159
95.6,49.6307584519
95.8,49.5979067217
96,49.5650742882
96.2,49.5176836433
96.4,49.4867191122
96.6,49.4484923927
96.8,49.4175660019
97,49.3812037822
97.2,49.3430487208
97.4,49.3067345737
97.6,49.28314291
97.8,49.2468672815
98,49.2069909641
98.2,49.1743857761
98.4,49.1399895366
98.6,49.0965714519
98.8,49.0622223314
99,49.0242816436
99.2,48.9971966296
99.4,48.9683201342
99.6,48.9376548721
99.8,48.8943907616
100,48.8547607418
100.2,48.8205568868
100.4,48.7953671067
100.6,48.7594008888
100.8,48.7216605938
101,48.6857404787
101.2,48.6534315337
101.4,48.6032091553
101.6,48.5870755297
101.8,48.5530304481
102,48.522586048
102.2,48.4850003605
102.4,48.454591703
102.6,48.4116889571
102.8,48.3759608658
103,48.3473941924
103.2,48.3152734354
103.4,48.2849534166
103.6,48.2493029734
103.8,48.2154552013
104,48.1798471263
104.2,48.1460395088
104.4,48.1069181973
104.6,48.0784827105
104.8,48.050060984
105,48.019877947
105.2,47.9737455712
105.4,47.9400562719
105.6,47.9046146164
105.8,47.8745059164
106,47.8408731434
106.2,47.8107968466
106.4,47.7718972165
106.6,47.7489230506
106.8,47.703001349
107,47.6800537855
107.2,47.6482948263
107.4,47.6112640771
107.6,47.5830655853
107.8,47.55135818
108,47.5196675724
108.2,47.4932715378
108.4,47.4510620403
108.6,47.4176672252
108.8,47.3860471387
109,47.3474229161
109.2,47.317593876
109.4,47.2912863795
109.6,47.2579799963
109.8,47.2281950962
110,47.1896716781
110.2,47.1581707248
110.4,47.1249374533
110.6,47.0864795242
110.8,47.0637658104
111,47.0305840792
111.2,47.0061459378
111.4,46.9729955378
111.6,46.9363765418
111.8,46.9102335346
112,46.8753935468
112.2,46.8388328582
112.4,46.8127314084
112.6,46.7657767159
112.8,46.7431816742
113,46.7136468106
113.2,46.6893345989
113.4,46.6511490288
113.6,46.6233925159
113.8,46.5939148567
114,46.5488584874
114.2,46.5298060248
114.4,46.4882572894
114.6,46.4657633112
114.8,46.4346312146
115,46.4052429523
115.2,46.3741410493
115.4,46.3361486287
