Vernier Format 2
_LPAutoSave.cmbl 4/24/2019 21:14:49 .
Latest
Time	Temperature
t	Temp
min	°C

0	75.0734163798
1	74.4229799927
2	73.9369146593
3	73.6279808394
4	73.2869871132
5	72.995816753
6	72.7316508469
7	72.4662482091
8	72.2363051516
9	72.0168665615
10	71.7866065342
11	71.5727489401
12	71.3660605965
13	71.163458087
14	70.941238609
15	70.7467471694
16	70.5854213092
17	70.381072803
18	70.2154729101
19	70.0130734331
20	69.8346872884
21	69.6685516402
22	69.4746749863
23	69.2987453583
24	69.1151539053
25	68.9660942248
26	68.7980319851
27	68.6112128064
28	68.4474354401
29	68.2953752261
30	68.1136765769
31	67.9574273888
32	67.7963454501
33	67.6467738396
34	67.4815441656
35	67.3223846926
