Vernier Format 2
_LPAutoSave.cmbl 4/23/2019 22:19:16 .
Latest
Time	Temperature
t	Temp
min	°C

0	75.4512377884
1	74.8367641488
2	74.3647043631
3	74.0490158944
4	73.7264349751
5	73.4697275364
6	73.224179027
7	73.0020548034
8	72.7533358081
9	72.5401264881
10	72.3373078523
11	72.1294748231
12	71.9349035515
13	71.73227518
14	71.5367224726
15	71.3570995279
16	71.1812915865
17	70.9914953025
18	70.7908631539
19	70.6498702839
20	70.4510128324
21	70.2647878644
22	70.1141404003
23	69.9237774126
24	69.7629896251
25	69.585750347
26	69.437720421
27	69.2506454062
28	69.0757242066
29	68.935228592
30	68.7561291831
31	68.6167765997
32	68.4585173884
33	68.2953752261
34	68.1548980614
35	67.9738455184
