Vernier Format 2
_LPAutoSave.cmbl 4/24/2019 19:20:35 .
Latest
Time	Temperature
t	Temp
min	°C

0	70.128600177
1	69.645692225
2	69.409317751
3	69.1771956321
4	68.9885573083
5	68.8427778956
6	68.6251237727
7	68.4640595372
8	68.2953752261
9	68.1136765769
10	67.9328130088
11	67.7527752847
12	67.5762637292
13	67.422121853
14	67.2605120067
15	67.0834972855
16	66.9125952515
17	66.7689642357
18	66.5967571816
19	66.4410851276
20	66.2886384401
21	66.1184776664
22	65.9854688016
23	65.8165811948
24	65.6742257741
25	65.5194979277
26	65.380745962
27	65.2220204698
28	65.0791857191
29	64.9267017456
30	64.7899511849
31	64.6335027451
32	64.5077680722
33	64.3448862607
34	64.217536516
35	64.0756683776
