Vernier Format 2
_LPAutoSave.cmbl 4/25/2019 21:51:07 .
Latest
Time	Temperature
t	Temp
min	°C

0	77.9708435925
1	77.1661988109
2	76.701440577
3	76.348168111
4	76.0117895396
5	75.7388403632
6	75.5112484745
7	75.2916842979
8	75.0734163798
9	74.8564275627
10	74.6374420493
11	74.4651247921
12	74.2484261043
13	74.0907394299
14	73.8953626503
15	73.7327957626
16	73.5392766099
17	73.3687951216
18	73.2084934124
19	73.0114138196
20	72.8339893968
21	72.6945056286
22	72.5000911457
23	72.3373078523
24	72.184378485
25	72.0290243102
26	71.8531172241
27	71.6870583074
28	71.5337218054
29	71.3780119652
30	71.2378193425
31	71.0566315404
32	70.8910478212
33	70.740868872
34	70.591275838
35	70.4568469143
