Vernier Format 2
_LPAutoSave.cmbl 4/26/2019 06:55:35 .
Latest
Time	Temperature
t	Temp
min	°C

0	85.3536706922
1	84.5338343022
2	84.0695512531
3	83.6321865393
4	83.2869765187
5	83.0312872963
6	82.7611135093
7	82.4929811267
8	82.2469485772
9	82.0185775173
10	81.7638946752
11	81.5661824351
12	81.2990401481
13	81.0960947468
14	80.8826872658
15	80.6628542142
16	80.4749472741
17	80.2690003128
18	80.0302127668
19	79.8455799622
20	79.6581509529
21	79.4679731864
22	79.2676962467
23	79.0501385076
24	78.874103984
25	78.677084125
26	78.5028511273
27	78.307835236
28	78.1389484517
29	77.938741836
30	77.7502708632
31	77.5627709518
32	77.3832530173
33	77.2116033544
34	77.0268454754
35	76.8533975648
36	76.6911028019
37	76.5192345611
38	76.348168111
39	76.181292869
40	76.0050256289
41	75.8430635701
42	75.6784586428
43	75.5112484745
44	75.3481140699
45	75.17577582
46	75.0174036996
47	74.8498719329
48	74.6928833408
49	74.5170609665
50	74.3647043631
51	74.2097472232
52	74.036187267
53	73.8793934109
54	73.7327957626
55	73.5614329716
56	73.4192273568
57	73.2618512644
58	73.1051323425
59	72.9459495579
60	72.7905390855
61	72.6419458024
62	72.4785512229
63	72.3311787927
64	72.19353684
65	72.0320643567
66	71.8924738271
67	71.7473594322
68	71.5997911875
69	71.4557873358
70	71.3123257424
71	71.1604866464
72	71.0240495543
73	70.8762983379
74	70.7232393848
75	70.5971312596
76	70.4510128324
77	70.3112596938
78	70.1691164228
79	70.0246105563
80	69.8806436473
81	69.7400744043
82	69.5971607022
83	69.4547720024
84	69.3157360299
85	69.1743734076
86	69.0278988687
87	68.904387357
88	68.7505455357
89	68.6195587929
90	68.480690686
91	68.3561286333
92	68.2181883634
93	68.0834749084
94	67.9519561983
95	67.8263278491
96	67.6847929453
97	67.5627184834
98	67.4329192864
99	67.3035436667
100	67.1719061387
101	67.0380298689
102	66.9046021724
103	66.7769301938
104	66.6417243874
105	66.5096118337
106	66.3831923291
107	66.2493065955
108	66.1184776664
109	66.0089090696
110	65.8840514528
111	65.7544008182
112	65.640651206
113	65.5143504946
114	65.3858764746
115	65.2629226086
116	65.1275913955
117	65.005413987
118	64.883601285
119	64.7596241619
120	64.6410590939
121	64.5153013011
122	64.3974390967
123	64.2724234235
124	64.1726833344
125	64.0483463431
126	63.9268579976
127	63.8081937633
128	63.6849453009
129	63.5596075738
130	63.4419866472
131	63.3198168923
132	63.2028694098
133	63.091100894
134	62.9699507874
135	62.873282043
136	62.7527580997
137	62.6253785094
138	62.5199210801
139	62.3956282036
140	62.2907418658
141	62.1599980349
142	62.0604278249
143	61.949279834
144	61.8337102218
145	61.7348991879
146	61.6175642007
147	61.502887185
148	61.3861851588
149	61.2721239983
150	61.1676396463
151	61.0518422154
152	60.9548118187
153	60.848789625
154	60.7315457967
155	60.621487252
156	60.509422442
157	60.4022019382
158	60.3066102866
159	60.2021539955
160	60.093421179
161	59.9827004302
162	59.8722579583
163	59.7643373885
164	59.6656416475
165	59.5604596095
166	59.4622173414
167	59.3508419768
168	59.248622686
169	59.1466376412
170	59.0493045446
171	58.9433643397
172	58.837674364
173	58.7453996029
174	58.6314167018
175	58.5351946496
176	58.4391775473
177	58.3281398274
178	58.2238820544
179	58.1198634689
180	58.0204019953
181	57.9384018107
182	57.8264294863
183	57.7254593489
184	57.6332771328
185	57.5391425917
186	57.4409350263
187	57.3344248101
188	57.2302829053
189	57.1412048371
190	57.0544126856
191	56.9445679258
192	56.8455080417
193	56.7466584138
194	56.6501143045
195	56.5684175656
196	56.4638861581
197	56.3741749838
198	56.2825543231
199	56.186959204
200	56.0853420876
