Vernier Format 2
Untitled.cmbl 4/6/2019 16:16:28 .
Latest
Time	Temperature
t	Temp
min	°C

0	63.5645156667
1	62.6782062974
2	62.0864831885
3	61.6292832241
4	61.2651504804
5	60.9640434294
6	60.676481669
7	60.4227131254
8	60.1636135902
9	59.915049681
10	59.6902949064
11	59.4622173414
12	59.248622686
13	59.0448853519
14	58.837674364
15	58.622660741
16	58.4391775473
17	58.2477532779
18	58.0441664795
19	57.8673106065
20	57.6889930419
21	57.4985531658
22	57.3174059923
23	57.1221389681
24	56.9635609354
25	56.7886964704
26	56.6186755998
27	56.4450952177
28	56.2908761104
29	56.1184991708
30	55.9467484622
31	55.7715011431
32	55.6235592355
33	55.4699386233
34	55.3045793724
35	55.1438486707
