Vernier Format 2
Untitled.cmbl 3/16/2019 20:06:57 .
Latest
Time	Temperature
t	Temp
min	°C

0	52.1662751386
1	51.4421711628
2	50.9873436438
3	50.6812946736
4	50.4195447318
5	50.2032983225
6	49.991575702
7	49.8099582486
8	49.6380614612
9	49.4630518827
10	49.2940301446
11	49.1508492522
12	49.0026126019
13	48.8493587745
14	48.7054937658
15	48.570946411
16	48.438499456
17	48.3010032267
18	48.1673894175
19	48.0252032401
20	47.9010716203
21	47.7754324928
22	47.6482948263
23	47.5214277216
24	47.4053685492
25	47.2737544153
26	47.1599203485
27	47.0288381728
28	46.9102335346
29	46.8040333891
30	46.6841260852
31	46.5679168017
32	46.4536545355
33	46.3361486287
34	46.2223094827
35	46.1121166472
