Vernier Format 2
Untitled.cmbl 4/5/2019 22:51:07 .
Latest
Time	Temperature
t	Temp
min	°C

0	74.9384708827
1	73.9913217752
2	73.5234586591
3	73.048873196
4	72.6419458024
5	72.2393618811
6	71.8833879117
7	71.5337218054
8	71.19021146
9	70.8821974495
10	70.54154077
11	70.258982827
12	69.975601575
13	69.6857050592
14	69.3809358403
15	69.1038842038
16	68.8203985334
17	68.5722883758
18	68.2898568469
19	68.025881435
20	67.7908965501
21	67.5221105283
22	67.2578240754
23	67.032684173
24	66.7716193785
25	66.5544812068
26	66.296509432
27	66.0714831923
28	65.8191741215
29	65.6045250907
30	65.3653583114
31	65.1275913955
32	64.9165563696
33	64.7066058681
34	64.4751400358
35	64.254951477
