[0, 0.0]
[1, 0.025786665175976914]
[2, 0.015092075950378333]
[3, 0.011552574117594833]
[4, 0.010233778366467558]
[5, 0.009284397755952571]
[6, 0.00858534088953581]
[7, 0.008109905670596915]
[8, 0.007666635242390644]
[9, 0.007304468933447141]
[10, 0.007044759413262779]
[11, 0.006803706750467252]
[12, 0.006593109438430333]
[13, 0.006410775320871492]
[14, 0.006287986631023743]
[15, 0.006142516127124229]
[16, 0.005970702001786824]
[17, 0.005877007307481128]
[18, 0.0057469004175058095]
[19, 0.005675058933474433]
[20, 0.005584539718394756]
[21, 0.005490426738135828]
[22, 0.005434245400029342]
[23, 0.005366147091120006]
[24, 0.005311769317678291]
[25, 0.005230947863966596]
[26, 0.005173645288818336]
[27, 0.005137175933103968]
[28, 0.0050850210934289975]
[29, 0.005027663091541195]
[30, 0.00499752199148116]
[31, 0.004950803028712997]
[32, 0.004910984002576928]
[33, 0.004865865808610867]
[34, 0.004834618878440976]
[35, 0.00480151778309755]
