[0, 0.0]
[1, 0.03055564934501633]
[2, 0.016139822208696385]
[3, 0.012421134456310321]
[4, 0.010746430542536819]
[5, 0.009548234674058461]
[6, 0.008627970745993913]
[7, 0.00796946541285556]
[8, 0.007485648041531022]
[9, 0.00711488421278026]
[10, 0.006828387572331082]
[11, 0.006508593840999184]
[12, 0.006323636496033066]
[13, 0.006073784779679383]
[14, 0.00591866953454615]
[15, 0.00573969386927987]
[16, 0.005625569505846287]
[17, 0.005497424317581544]
[18, 0.005372588589240571]
[19, 0.0053031486513375106]
[20, 0.005220658924861358]
[21, 0.0051081465695716095]
[22, 0.005060140302204885]
[23, 0.004987497242459183]
[24, 0.0049126687743739]
[25, 0.004846475670757447]
[26, 0.004803062531717806]
[27, 0.004755511689438941]
[28, 0.004701955245027918]
[29, 0.004654328167112555]
[30, 0.004598957031900146]
[31, 0.004576624478129739]
[32, 0.0045454262727484375]
[33, 0.004506205104045041]
[34, 0.004469263092014748]
[35, 0.004425123585476511]
