[0, 0.0]
[1, 0.03680861751066582]
[2, 0.018414672936933055]
[3, 0.014823909515454833]
[4, 0.012921030824640172]
[5, 0.011859205301776834]
[6, 0.011022207722311802]
[7, 0.010430909913140591]
[8, 0.009987179605342972]
[9, 0.009566587195072022]
[10, 0.00931114677395703]
[11, 0.008992096868442243]
[12, 0.008733166455002923]
[13, 0.008529739954387112]
[14, 0.008383056032364883]
[15, 0.00821810780889759]
[16, 0.00808583167342085]
[17, 0.00792484515138706]
[18, 0.00782723822726888]
[19, 0.0077201242319472774]
[20, 0.007592556357132354]
[21, 0.007515796787817126]
[22, 0.00744314393687256]
[23, 0.007339003797951008]
[24, 0.007279749691871944]
[25, 0.007185598765321587]
[26, 0.007136774413752194]
[27, 0.007064099263117275]
[28, 0.007020864362486609]
[29, 0.006950852467001058]
[30, 0.006906059606547852]
[31, 0.006864159414505986]
[32, 0.006805678627405485]
[33, 0.006750776472871226]
[34, 0.00671538964980878]
[35, 0.006675032589767221]
