[0, 0.0]
[1, 0.020489523242779188]
[2, 0.011171119144995472]
[3, 0.00958523342013438]
[4, 0.009808438571215342]
[5, 0.009244228969389376]
[6, 0.009034803277081508]
[7, 0.008763624002850728]
[8, 0.008480691043533281]
[9, 0.008249699235082777]
[10, 0.008127584474624569]
[11, 0.007962699773178233]
[12, 0.007810237407801729]
[13, 0.007631709506872249]
[14, 0.007526848038166916]
[15, 0.0074104555481150506]
[16, 0.007284735557940269]
[17, 0.00718602954177256]
[18, 0.00710247273023143]
[19, 0.007014421841132184]
[20, 0.006922550221820965]
[21, 0.006855394810276614]
[22, 0.0068214318122442]
[23, 0.006751005051359545]
[24, 0.006689494212963703]
[25, 0.00663321036139478]
[26, 0.0065865723599001745]
[27, 0.006529146476701982]
[28, 0.006487757860057759]
[29, 0.006444972905107389]
[30, 0.0063812931836546415]
[31, 0.006351508252715913]
[32, 0.006319733397289221]
[33, 0.00627620845429282]
[34, 0.0062489640802650855]
[35, 0.006217873141527774]
