Central Dauphin Middle School,4600 Locust Ln, Harrisburg, PA 17109,,
Eagle View Middle School,6746 Carlisle Pike, Mechanicsburg, PA 17050,,
Eastern York Middle School,746 Cool Creek Rd, Wrightsville, PA 17368,,
Elizabethtown Area Middle School,600 E High St, Elizabethtown, PA 17022,,
Harrisburg Academy,10 Erford Rd, Lemoyne, PA 17043,,
Hershey Middle School,500 Homestead Rd, Hershey, PA 17033,,
Manheim Central Middle School,261 White Oak Rd, Manheim, PA 17545,,
McKinley K-8 School,341 E King St, York, PA 17403,,
Millersburg Area Middle School,799 Center St, Millersburg, PA 17061,,
Mount Nittany Middle School,656 Brandywine Dr, State College, PA 16801,,
Mountain View Middle School,30 Bali Hai Rd, Mechanicsburg, PA 17050,,
Nittany Christian School,1221 W Whitehall Rd, State College, PA 16801,,
Park Forest Middle School,18-016-,258-,0, State College, PA 16803
Saint Leo the Great Catholic School,2427 Marietta Ave, Lancaster, PA 17601,,
Spring Grove Area Middle School,244 Old Hanover Rd, Spring Grove, PA 17362,,
Warwick Middle School,401 Maple St, Lititz, PA 17543,,
Waynesboro Area Middle School,702 E 2nd St, Waynesboro, PA 17268,,
Conrad Weiser Middle School,347 Penn Ave, Robesonia, PA 19551,,
Exeter Township Junior High School,151 E 39th St, Reading, PA 19606,,
Fleetwood Area Middle School,407 N Richmond St, Fleetwood, PA 19522,,
Kutztown Area Middle School,10 Deisher Ln, Kutztown, PA 19530,,
Springhouse Middle School,1200 Springhouse Rd, Allentown, PA 18104,,
Whitehall-Coplay Middle School,2930 Zephyr Blvd, Whitehall, PA 18052,,
Brookville Area Junior High School,96 Jenks St, Brookville, PA 15825,,
Clarion-Limestone Junior High School,4091 C L School Rd, Strattanville, PA 16258,,
Harbor Creek Junior High School,6375 Buffalo Rd, Harborcreek, PA 16421,,
Kane Area Middle School,41°39'19. 78°48'45., 4 5th St, Mt Jewett, PA 16740,
Neshannock Junior High School,3834 Mitchell Rd, New Castle, PA 16105,,
North Clarion Junior High School,10439 PA-36, Tionesta, PA 16353,,
Redbank Valley Junior High School,910 Broad St, New Bethlehem, PA 16242,,
Wattsburg Area Middle School,10774 Wattsburg Rd, Wattsburg, PA 16442,,
Wilmington Area Middle School,400 Wood St, New Wilmington, PA 16142,,
Abington Heights Middle School,1555 Newton Ransom Blvd, Clarks Summit, PA 18411,,
Benton Area Middle School,400 Park St, Benton, PA 17814,,
Dallas Middle School,2020 Conyngham Ave, Dallas, PA 18612,,
Delaware Valley Middle School,258 US-6, Milford, PA 18337,,
Dingman Delaware Middle School,1365 PA-739, Dingmans Ferry, PA 18328,,
Exeter Township Junior High School,151 E 39th St, Reading, PA 19606,,
Fleetwood Area Middle School,407 N Richmond St, Fleetwood, PA 19522,,
Harlan Rowe Middle School,Athens Township, PA 18840,,,
Kutztown Area Middle School,10 Deisher Ln, Kutztown, PA 19530,,
Lake Lehman Junior High School,1128 Old Rte 115, Lehman, PA 18627,,
Martin L. Mattei Middle School,120 New St, Pittston, PA 18640,,
Mountain View Junior High School,Sullivan, ME 04664,,,
North Pocono Middle School,701 Church St, Moscow, PA 18444,,
Springhouse Middle School,1200 Springhouse Rd, Allentown, PA 18104,,
Wallenpaupack Area Middle School,139 Atlantic Ave, Hawley, PA 18428,,
Wayne Highlands Middle School,482 Grove St, Honesdale, PA 18431,,
Whitehall-Coplay Middle School,2930 Zephyr Blvd, Whitehall, PA 18052,,
Wilkes-Barre Academy,20 Stevens Rd, Wilkes-Barre, PA 18702,,
Wyalusing Valley Junior High School,11364 Wyalusing New Albany Rd, Wyalusing, PA 18853,,
Wyoming Valley West Middle School,201 Chester St, Kingston, PA 18704,,
Bala Cynwyd Middle School,510 Bryn Mawr Ave, Bala Cynwyd, PA 19004,,
Cedarbrook Middle School,300 Longfellow Rd, Wyncote, PA 19095,,
Chichester Middle School,925 Meetinghouse Rd, Boothwyn, PA 19061,,
Colonial Middle School,716 Belvoir Rd, Plymouth Meeting, PA 19462,,
Delaware County Christian School,462 Malin Rd, Newtown Square, PA 19073,,
Devon Preparatory School,363 N Valley Forge Rd, Devon, PA 19333,,
E.N. Peirce Middle School,1314 Burke Rd, West Chester, PA 19380,,
G.A. Stetson Middle School,1060 Wilmington Pike, West Chester, PA 19382,,
Garnet Valley Middle School,601 Smithbridge Rd, Glen Mills, PA 19342,,
J.R. Fugett Middle School,500 Ellis Ln, West Chester, PA 19380,,
John F. McCloskey School,8500 Pickering Ave, Philadelphia, PA 19150,,
Northley Middle School,2801 Concord Rd, Aston, PA 19014,,
Paxon Hollow Middle School,815 Paxon Hollow Rd, Broomall, PA 19008,,
Penn Wood Middle School,121 Summit St, Darby, PA 19023,,
Ridley Middle School,400 Free St, Ridley Park, PA 19078,,
Springton Lake Middle School,1900 N Providence Rd, Media, PA 19063,,
Strath Haven Middle School,200 S Providence Rd, Wallingford, PA 19086,,
The Shipley School,814 Yarrow St, Bryn Mawr, PA 19010,,
Tohickon Middle School,5051 Old Easton Rd, Doylestown, PA 18902,,
Tredyffrin-Easttown Middle School,801 Conestoga Rd, Berwyn, PA 19312,,
Upper Merion Area Middle School,450 Keebler Rd, King of Prussia, PA 19406,,
Valley Forge Middle School,105 Walker Rd, Wayne, PA 19087,,
Welsh Valley Middle School,325 Tower Ln, Narberth, PA 19072,,
William M. Meredith School,725 S 5th St, Philadelphia, PA 19147,,
A.J. McMullen Middle School,4773 National Pike, Markleysburg, PA 15459,,
Central Cambria Middle School,206 Schoolhouse Rd, Ebensburg, PA 15931,,
Charles Huston Middle School,1020 Puckety Church Rd, Lower Burrell, PA 15068,,
Franklin Regional Middle School,4660 Old William Penn Hwy, Murrysville, PA 15668,,
Greater Latrobe Junior High School,130 High School Rd, Latrobe, PA 15650,,
McGuffey Middle School,86 Mcguffey Dr, Claysville, PA 15323,,
Mellon Middle School,11 Castle Shannon Blvd, Pittsburgh, PA 15228,,
Norwin Middle School,10870 Mockingbird Dr, North Huntingdon, PA 15642,,
Penns Manor Junior High School,6003 PA-553, Clymer, PA 15728,,
Peters Township Middle School,625 E McMurray Rd, McMurray, PA 15317,,
Quaker Valley Middle School,618 Harbaugh St, Sewickley, PA 15143,,
Ringgold Middle School,2, Ram Dr, Monongahela, PA 15063,
Shady Side Academy Middle School,500 Squaw Run Rd E, Pittsburgh, PA 15238,,
Winchester Thurston Middle School,555 Morewood Ave, Pittsburgh, PA 15213,,
Woodland Hills Intermediate School,7600 Evans St, Pittsburgh, PA 15218,,
Chateaugay Central Middle School,42 River St, Chateaugay, NY 12920,,
Lake Placid Middle School,201 S Tangerine Dr, Lake Placid, FL 33852,,
Long Lake Middle School,20 School Rd, Long Lake, NY 12847,,
Plattsburgh Middle School,15 Broad St, Plattsburgh, NY 12901,,
Thousand Islands Middle School,8481 St Lawrence Rd, Clayton, NY 13624,,
Ballston Spa Middle School,210 Ballston Ave, Ballston Spa, NY 12020,,
Cooperstown Central Middle School,39 Linden Ave, Cooperstown, NY 13326,,
Howard L. Goff Middle School,35 Gilligan Rd, East Greenbush, NY 12061,,
Maple Grove Middle School,7000 Hemlock Ln N, Maple Grove, MN 55369,,
New Lebanon Junior Middle School,14665 NY-22, New Lebanon, NY 12125,,
Onteora Middle School,5203, 4166 NY-28, Boiceville, NY 12412,
Richard H. O'Rourke Middle School,173 Lakehill Rd, Burnt Hills, NY 12027,,
Ravena-Coeymans-Selkirk Middle School,2025 Us Route 9W, Ravena, NY 12143,,
Scotia-Glenville Middle School,10 Prestige Pkwy, Scotia, NY 12302,,
South Kortright Middle School,58200 NY-10, South Kortright, NY 13842,,
,,,,,
Bellport Middle School,35 Kreamer St, Bellport, NY 11713,,
Commack Middle School,700 Vanderbilt Pkwy, Commack, NY 11725,,
Copiague Middle School,2650 Great Neck Rd, Copiague, NY 11726,,
East Northport Middle School,1075 5th Ave, East Northport, NY 11731,,
Great Hollow Middle School,150 Southern Blvd # 1, Smithtown, NY 11787,,
